le
la
les
des
du
en
et
ou
a
avec
pour
par
sur
dans
qui
que
ce
cela
ces
ceux
celle
celui
toutes
tous
cette
ceci
c'est
être
ont
avait
sont
était
étaient
fait
faire
ayant
avoir
pas
plus
moins
votre 
vos
de
un
une
de
la
nous
je 
tu
il
ils
vous
dans
dedans
dessus
notre
chez
et
en
à
a
au
nos
sur
aux
ce
cette
ces
mais
plus
dont
ou
où
est
cest
nest
pour
par
avec
sans
sous
si
sa
ne
sans
son
quune
tes
LE
